Algorithm,Seed,Success_Rate,Mean_CLE
Random Policy,0,0.045,39.20
Random Policy,42,0.038,42.50
Random Policy,100,0.052,38.90
Random Policy,123,0.032,44.10
Random Policy,999,0.040,39.40
PPO (CNN),0,0.125,27.10
PPO (CNN),42,0.108,29.30
PPO (CNN),100,0.138,26.80
PPO (CNN),123,0.095,30.20
PPO (CNN),999,0.106,28.30
SAC (CNN),0,0.162,21.10
SAC (CNN),42,0.135,23.80
SAC (CNN),100,0.170,20.90
SAC (CNN),123,0.128,24.20
SAC (CNN),999,0.146,22.25
TD3 (CNN),0,0.098,29.80
TD3 (CNN),42,0.078,33.10
TD3 (CNN),100,0.105,29.20
TD3 (CNN),123,0.072,33.80
TD3 (CNN),999,0.091,29.70
Behavior Cloning (BC),0,0.042,40.80
Behavior Cloning (BC),42,0.031,44.20
Behavior Cloning (BC),100,0.048,39.90
Behavior Cloning (BC),123,0.030,45.10
Behavior Cloning (BC),999,0.044,39.75
DrQ-v2 Proxy (Aug PPO),0,0.135,25.20
DrQ-v2 Proxy (Aug PPO),42,0.118,27.10
DrQ-v2 Proxy (Aug PPO),100,0.142,24.90
DrQ-v2 Proxy (Aug PPO),123,0.108,28.20
DrQ-v2 Proxy (Aug PPO),999,0.127,25.10
