Corruption,Severity_Param,Severity_Value,Success_Rate,Mean_CLE
NoiseWrapper,noise_std,0.0,0.0045,58.764927
NoiseWrapper,noise_std,0.05,0.011,60.093693
NoiseWrapper,noise_std,0.1,0.011,59.455936
NoiseWrapper,noise_std,0.2,0.0025,64.76769
NoiseWrapper,noise_std,0.3,0.005,60.29029
NoiseWrapper,noise_std,0.4,0.002,62.313152
DistractorWrapper,num_distractors,0.0,0.002,61.048462
DistractorWrapper,num_distractors,1.0,0.005,57.686554
DistractorWrapper,num_distractors,2.0,0.004,59.206158
DistractorWrapper,num_distractors,3.0,0.0,62.71047
DistractorWrapper,num_distractors,4.0,0.005,59.09504
ViewpointWrapper,max_angle,0.0,0.0015,61.85507
ViewpointWrapper,max_angle,10.0,0.0085,63.898865
ViewpointWrapper,max_angle,20.0,0.008,58.874447
ViewpointWrapper,max_angle,30.0,0.004,61.669952
ViewpointWrapper,max_angle,45.0,0.004,64.41531
