Shift_Condition,Augmentation,Rep_Distance,Proxy_Rank,Mean_Return,GT_Rank
Noise_Low,Cutout_High,42.90695571899414,1,-141.94555075698435,13
Noise_Low,Color_Jitter_High,50.98155212402344,2,-141.92152073913155,7
Noise_Low,Cutout_Med,57.027984619140625,3,-141.94555075698435,12
Noise_Low,Color_Jitter_Med,62.81797790527344,4,-141.91202829565322,5
Noise_Low,Cutout_Low,64.64356231689453,5,-141.92814336239346,10
Noise_Low,Blur_K3,65.83380889892578,6,-141.92650241965342,9
Noise_Low,Blur_K5,65.92459106445312,7,-141.92877406430625,11
Noise_Low,Blur_K7,66.36385345458984,8,-141.9238841219554,8
Noise_Low,Random_Shift_Med,66.60597229003906,9,-141.9168917833813,6
Noise_Low,Random_Shift_Low,66.84542846679688,10,-141.90838031049762,3
Noise_Low,No_Augmentation,66.89681243896484,11,-141.91150748426955,4
Noise_Low,Random_Shift_High,66.95236206054688,12,-141.8897696408015,2
Noise_Low,Color_Jitter_Low,71.71580505371094,13,-141.82277496996386,1
Noise_High,Cutout_High,48.06411361694336,1,-141.94555075698435,13
Noise_High,Color_Jitter_High,51.21574020385742,2,-141.9145227360347,11
Noise_High,Color_Jitter_Med,61.317501068115234,3,-141.8976186513901,10
Noise_High,Cutout_Med,62.77283477783203,4,-141.9380407844271,12
Noise_High,Color_Jitter_Low,69.71907043457031,5,-141.86628073170075,9
Noise_High,Cutout_Low,69.93938446044922,6,-141.85553985663827,8
Noise_High,Random_Shift_High,70.55498504638672,7,-141.83641293957126,5
Noise_High,No_Augmentation,70.82392883300781,8,-141.8228404249464,4
Noise_High,Random_Shift_Med,70.86170959472656,9,-141.83988701805237,7
Noise_High,Random_Shift_Low,70.88591003417969,10,-141.83674687544507,6
Noise_High,Blur_K3,72.17858123779297,11,-141.8029364676703,3
Noise_High,Blur_K5,72.37460327148438,12,-141.781409930426,2
Noise_High,Blur_K7,72.45978546142578,13,-141.78039694892038,1
Distractor_1,Blur_K7,1.9416229724884033,1,-141.94555075698435,13
Distractor_1,Blur_K5,3.788695812225342,2,-141.94555075698435,12
Distractor_1,Blur_K3,5.301969528198242,3,-141.94555075698435,11
Distractor_1,Cutout_Med,7.079687118530273,4,-141.94555075698435,9
Distractor_1,Random_Shift_Med,7.142887592315674,5,-141.94555075698435,6
Distractor_1,No_Augmentation,7.868199825286865,6,-141.94555075698435,4
Distractor_1,Cutout_High,8.350821495056152,7,-141.94555075698435,10
Distractor_1,Random_Shift_Low,8.403925895690918,8,-141.94555075698435,5
Distractor_1,Cutout_Low,8.48950481414795,9,-141.94555075698435,8
Distractor_1,Random_Shift_High,8.628171920776367,10,-141.94555075698435,7
