Seed,Shift_Condition,Euclidean_Distance,Cosine_Distance,MMD_Distance,Mean_CLE,Success_Rate
0,Noise (std=0.02),4.20,0.012,0.045,29.10,0.110
0,Noise (std=0.05),8.50,0.025,0.088,32.40,0.092
0,Noise (std=0.10),15.20,0.048,0.142,38.90,0.065
0,Noise (std=0.15),22.80,0.075,0.198,45.20,0.041
0,Noise (std=0.20),31.40,0.112,0.245,52.40,0.022
0,Noise (std=0.30),48.90,0.185,0.312,61.80,0.008
0,Noise (std=0.40),64.20,0.264,0.385,68.90,0.002
0,Distractors (N=1),12.40,0.039,0.110,35.80,0.078
0,Distractors (N=2),24.10,0.082,0.205,48.20,0.035
0,Distractors (N=3),36.80,0.135,0.280,56.90,0.015
0,Distractors (N=4),49.50,0.192,0.345,63.10,0.005
0,Viewpoint (angle=10deg),9.10,0.028,0.092,33.50,0.088
0,Viewpoint (angle=20deg),19.40,0.062,0.175,42.80,0.052
0,Viewpoint (angle=30deg),32.10,0.118,0.252,53.90,0.020
0,Viewpoint (angle=45deg),45.80,0.178,0.328,62.40,0.006
