Env,Algorithm,Seed,Shift_Condition,Success_Rate,Mean_Return,Representation_Distance
procgen:procgen-coinrun-v0,PPO_Standard,0,Clean,0.02,0.2,0.0
procgen:procgen-coinrun-v0,PPO_Standard,0,Noise_Low,0.08,0.8,5.13594388961792
procgen:procgen-coinrun-v0,PPO_Standard,0,Noise_High,0.38,3.8,5.991574287414551
procgen:procgen-coinrun-v0,PPO_Standard,0,Distractor_1,0.16,1.6,12.118802070617676
procgen:procgen-coinrun-v0,PPO_Standard,0,Distractor_3,0.36,3.6,6.29103422164917
procgen:procgen-coinrun-v0,PPO_Standard,0,Viewpoint_15deg,0.24,2.4,9.148536682128906
procgen:procgen-coinrun-v0,PPO_Standard,0,Viewpoint_30deg,0.36,3.6,7.446713447570801
procgen:procgen-coinrun-v0,PPO_Standard,0,Occlusion_15pct,0.34,3.4,10.822702407836914
procgen:procgen-coinrun-v0,PPO_Standard,0,Blur_K7,0.02,0.2,5.178633213043213
procgen:procgen-coinrun-v0,PPO_Standard,0,Compound_Level2,0.36,3.6,10.340225219726562
procgen:procgen-coinrun-v0,PPO_Standard,0,Compound_Level4,0.42,4.2,6.429104328155518
procgen:procgen-coinrun-v0,PPO_Standard,42,Clean,0.06,0.6,0.0
procgen:procgen-coinrun-v0,PPO_Standard,42,Noise_Low,0.1,1.0,18.135000228881836
procgen:procgen-coinrun-v0,PPO_Standard,42,Noise_High,0.4,4.0,17.72246551513672
procgen:procgen-coinrun-v0,PPO_Standard,42,Distractor_1,0.36,3.6,11.366301536560059
procgen:procgen-coinrun-v0,PPO_Standard,42,Distractor_3,0.44,4.4,12.676335334777832
procgen:procgen-coinrun-v0,PPO_Standard,42,Viewpoint_15deg,0.58,5.8,8.98900318145752
procgen:procgen-coinrun-v0,PPO_Standard,42,Viewpoint_30deg,0.52,5.2,8.848766326904297
procgen:procgen-coinrun-v0,PPO_Standard,42,Occlusion_15pct,0.44,4.4,15.299576759338379
procgen:procgen-coinrun-v0,PPO_Standard,42,Blur_K7,0.08,0.8,20.71851348876953
procgen:procgen-coinrun-v0,PPO_Standard,42,Compound_Level2,0.38,3.8,6.207307815551758
procgen:procgen-coinrun-v0,PPO_Standard,42,Compound_Level4,0.54,5.4,10.336065292358398
procgen:procgen-coinrun-v0,PPO_Standard,100,Clean,0.0,0.0,0.0
procgen:procgen-coinrun-v0,PPO_Standard,100,Noise_Low,0.02,0.2,9.009482383728027
procgen:procgen-coinrun-v0,PPO_Standard,100,Noise_High,0.3,3.0,9.870601654052734
procgen:procgen-coinrun-v0,PPO_Standard,100,Distractor_1,0.26,2.6,9.664067268371582
procgen:procgen-coinrun-v0,PPO_Standard,100,Distractor_3,0.22,2.2,9.647358894348145
